CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,
DA,Board,DA0057,"ไม้ HMR12mm-เมลามีน ES4006-11 2หน้า 1200x2400mm (4""x8"")",,บริษัท อีเอส คอนเซปท์ จำกัด,650.00,0,,,,,,,
DA,Board,DA0058,"ไม้ HMR12mm-เมลามีน MKW3258-09 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,680.00,0,,,,,,,
DA,Board,DA0059,"ไม้ HMR15mm-เมลามีน ES4006-11 2หน้า 1200x2400mm (4""x8"")",,บริษัท อีเอส คอนเซปท์ จำกัด,790.00,0,,,,,,,
DA,Board,DA0060,"ไม้ HMR18mm-เมลามีน MKW-1125-06 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,745.00,0,,,,,,,
DA,Board,DA0061,"ไม้ HMR9mm-เมลามีน MKW-5345-06 1หน้า 1200x2400 (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,760.00,0,,,,,,,
DA,Board,DA0062,"ไม้ HMR18mm-เมลามีน MKW-5345-06 2หน้า 1200x2400 (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,1110.00,0,,,,,,,
DA,Board,DA0063,"ไม้ HMR25mm-เมลามีน MKW-5345-06 2หน้า 1200x2400 (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,1350.00,0,,,,,,,
DA,Board,DA0064,"ไม้ HMR9mm-เมลามีน MKW101-09 2 หน้า 1200x2400 (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,645.00,0,,,,,,,
DA,Board,DA0065,"ไม้ HMR6mm-เมลามีน MKW101-09 1 หน้า 1200x2400 (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,,0,,,,,,,
DA,Board,DA0066,"ไม้ HMR15mm-เมลามีน MKW101-09 2 หน้า 1200x2400 (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,780.00,0,,,,,,,
DA,Board,DA0067,"ไม้ HMR18mm-เมลามีน MKW101-09 2 หน้า 1200x2400 (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,870.00,0,,,,,,,
DA,Board,DA0068,"ไม้ MDF17mm-เมลามีน MKW101-09 2 หน้า 1200x2400 (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,,0,,,,,,,
DA,Board,DA0069,"ไม้ HMR12mm-เมลามีน MKW101-09 2 หน้า 1200x2400 (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,690.00,0,,,,,,,
DA,Board,DA0070,"ไม้ HMR15mm-เมลามีน MKW3258-09 1หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,900.00,0,,,,,,,
DA,Board,DA0071,"ไม้ HMR15mm-เมลามีน MKW3258-09 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,825.00,0,,,,,,,
